Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CCL15,C-C motif chemokine 15,23217,688,1.55 [1.35-1.78],9.103643993589311e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CCN4,CCN family member 4,23119,682,1.63 [1.39-1.91],1.13753867819267e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD14,Monocyte differentiation antigen CD14,22503,672,1.63 [1.39-1.91],2.2569188525630044e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD163,Scavenger receptor cysteine-rich type 1 protein M130,23037,684,1.51 [1.30-1.75],5.174674568439652e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD27,CD27 antigen,22980,680,1.84 [1.61-2.11],3.1080290072454494e-18
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD274,Programmed cell death 1 ligand 1,22722,672,1.72 [1.44-2.05],1.9982867481610964e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD276,CD276 antigen,22890,676,1.84 [1.51-2.24],9.211788466528435e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD300C,CMRF35-like molecule 6,23132,682,1.80 [1.50-2.16],1.7717683255778635e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD300E,CMRF35-like molecule 2,23057,682,1.62 [1.39-1.88],4.3313678208337927e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD302,CD302 antigen,22815,673,1.85 [1.53-2.25],3.7710485536847576e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD4,T-cell surface glycoprotein CD4,22863,679,1.79 [1.47-2.18],7.0240844274754105e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD46,Membrane cofactor protein,22820,681,1.85 [1.49-2.29],1.765373872994786e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD48,CD48 antigen,22973,677,1.83 [1.48-2.27],2.3713341242673343e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD5,T-cell surface glycoprotein CD5,23084,682,1.64 [1.41-1.90],1.2254259231243472e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,CD59,CD59 glycoprotein,22126,664,2.09 [1.63-2.68],7.674909204243863e-09
